"","rok","woj","plec","internet_godz","samotnosc"
"110","2009",10,2,10.1749278747116,1.7403267486548
"111","2009",12,1,11.8872089440135,1.84870288575998
"112","2009",12,2,10.5693234929017,1.7753673772359
"113","2009",14,1,15.3083372150461,1.7827367220999
"114","2009",14,2,12.1475299870124,1.71392074778871
"115","2009",16,1,13.8456783458299,1.83216426203297
"116","2009",16,2,8.46646420270281,1.80811782763569
"117","2009",18,1,11.6397100945608,1.85988135032181
"118","2009",18,2,8.19862794751177,1.74438141096782
"119","2009",20,1,13.0769024037559,1.8044986480745
"120","2009",20,2,11.6185221425871,1.74699249830618
"121","2009",22,1,15.1087220788498,1.84042027893397
"122","2009",22,2,9.89317675300631,1.78091852973556
"123","2009",24,1,13.753827125893,1.81167028584199
"124","2009",24,2,10.6931655965844,1.77541830489436
